gene,pval_hr6_vs_0,ratio_hr6_vs_0,pval_day1_vs_0,ratio_day1_vs_0,pval_day3_vs_0,ratio_day3_vs_0,pval_day7_vs_0,ratio_day7_vs_0
ABHD8,0.025484,0.838786,0.0423964,0.889181,0.275767,0.919261,0.226909,0.910774
ABI1,0.334595,1.16201,0.0121679,1.34423,0.497523,1.11107,0.574502,1.09101
ABI2,0.20968,1.11451,4.27E-09,0.641592,0.0470074,0.840578,0.858466,0.984819
ABI3,0.812688,1.04103,0.00923146,1.40106,0.00135899,1.77118,0.575966,0.909341
ABI3BP,0.165864,0.897239,0.901943,0.99297,0.813548,0.981876,0.753421,0.975928
ABL1,0.371285,1.08645,0.855131,1.01254,0.896321,1.01211,0.653242,0.959306
ABL2,0.948752,1.01335,0.0120499,1.4839,0.832858,1.04453,0.531426,1.13815
ABLIM1,0.698551,1.07628,0.00751094,0.678534,0.360283,0.840114,0.771407,1.05668
ABLIM2,0.218486,0.906343,0.562836,0.966615,0.233888,0.909298,0.790931,0.979183
ABLIM3,0.58953,0.905595,0.0688164,0.778281,0.343261,0.839701,0.325887,0.8343
ABO,0.172008,0.899094,0.293497,1.06205,0.783628,0.979023,0.80394,0.981017
ABR,0.446643,1.06382,5.19E-07,1.40666,0.0418406,1.18335,0.656361,0.964538
ABRA,0.423699,0.888129,0.170164,1.16316,0.36461,0.874096,0.257704,0.845042
ABRACL,0.866669,1.04745,0.0488085,0.664034,0.774891,0.924051,0.948591,1.01796
ABT1,0.405739,1.09439,0.311871,0.922045,0.802209,0.973271,0.267662,1.12814
ABTB1,0.431708,1.09015,0.0063729,0.795559,0.823086,1.02478,0.946087,1.00743
ABTB2,0.265842,0.874862,1.01E-06,1.62657,0.815455,1.02827,0.741463,0.961344
ACAA1,0.901989,1.02065,0.71283,0.955869,0.425514,1.14183,0.804106,1.04203
ACAA2,0.470806,1.15237,0.00966905,0.678849,0.795591,0.950436,0.853285,1.03695
ACACA,0.394453,1.04756,0.179342,0.947059,0.536129,1.03427,0.16823,1.07854
ACACB,0.929354,1.00533,6.28E-06,0.801312,0.259406,0.934224,0.52951,1.03849
ACAD10,0.315895,0.954416,7.15E-06,0.843867,0.0670683,0.91744,0.999572,0.999975
ACAD11,0.683451,1.03329,7.36E-05,0.775678,0.304748,0.920559,0.0527841,1.17148
ACAD8,0.63656,1.04791,0.420688,0.942687,0.739279,1.03349,0.474002,1.07359
ACAD9,0.245385,1.0698,0.0204838,1.10671,0.0277349,1.13889,0.190303,1.07919
ACADL,0.468916,0.953698,0.26162,0.946992,0.683592,0.973719,0.819381,1.01502
ACADM,0.14659,1.22197,0.782393,1.02828,0.496708,1.09758,0.3334,1.14204
ACADS,0.233805,0.887598,0.130256,1.11895,0.644047,1.04708,0.903107,1.01218
ACADSB,0.798987,1.04139,0.000380515,0.640993,0.588007,0.917251,0.666152,1.07117
ACADVL,0.968864,0.996382,0.0592913,0.876685,0.94531,0.99365,0.911876,0.989775
ACAN,0.0443293,0.844901,0.894221,0.991962,0.489481,0.944666,0.158928,0.889695
ACAP1,0.988829,1.00265,0.00120567,0.621063,0.504667,1.13483,0.503548,1.13521
ACAP2,0.133974,1.16756,0.0348191,1.17689,0.296888,1.11318,0.784075,1.02842
ACAP3,0.614766,0.957214,0.0683093,0.888037,0.870012,0.985898,0.893431,0.988441
ACAT1,0.427629,1.0989,0.225279,0.898603,0.713939,0.957453,0.922876,1.01154
ACAT2,0.209705,1.16783,0.753259,1.02892,0.561797,1.07393,0.345993,1.12319
ACBD3,0.0589567,1.10341,0.000671855,1.14589,0.526139,1.03306,0.0313927,1.11933
ACBD4,0.364109,0.9368,0.000147943,0.806021,0.379881,0.938802,0.666101,0.96953
ACBD5,0.81186,1.02232,1.16E-06,1.45513,0.992073,1.00092,0.669174,1.04045
