gene,pval_hr6_vs_0,ratio_hr6_vs_0,pval_day1_vs_0,ratio_day1_vs_0,pval_day3_vs_0,ratio_day3_vs_0,pval_day7_vs_0,ratio_day7_vs_0
HSP90B1,0.290574,1.11297,0.182393,1.10523,0.558793,0.942722,0.0734639,1.20096
HSPA12A,0.0671996,0.820262,0.60079,0.959627,0.678903,0.956837,0.39408,0.912944
HSPA12B,0.03634,0.821617,0.149241,0.905864,0.522087,0.942768,0.253609,0.899817
HSPA13,0.689808,1.08282,0.0265834,1.3968,0.680659,0.921225,0.404324,1.18138
HSPA14,0.66259,1.03964,0.88864,1.00925,0.722004,0.968809,0.477753,1.06539
HSPA1A,0.098926,1.51178,0.123548,1.32895,0.442991,1.20944,0.898327,1.03209
HSPA1B,0.109432,1.30026,9.45E-05,1.65508,0.159216,1.25891,0.384923,0.868258
HSPA1L,0.0321641,1.23194,8.29E-05,0.741643,0.961585,0.995425,0.62844,1.04721
HSPA2,0.218328,0.889929,0.0393744,1.15729,0.767898,0.972617,0.61644,0.953934
HSPA4,0.0576153,1.26554,0.0291917,1.22253,0.426777,1.10203,0.643178,1.05815
HSPA4L,0.135847,0.93489,0.839315,1.00671,0.911804,1.00496,0.637016,0.979126
HSPA5,0.670141,0.953407,0.000384414,1.36663,0.935078,1.00916,0.202361,1.15466
HSPA6,0.657802,1.11843,0.000546094,1.9813,0.11965,1.48815,0.889143,0.96542
HSPA8,0.879938,1.01029,0.477379,0.964975,0.213017,0.918474,0.746386,0.978308
HSPA9,0.10812,1.11272,0.0714413,0.915036,0.649504,1.03031,0.0857355,1.12124
HSPB1,0.199582,1.17585,0.00597049,1.30213,0.925712,0.988386,0.762205,0.962785
HSPB11,0.346788,1.30951,0.974155,1.00685,0.483135,1.22214,0.546565,1.18811
HSPB2,0.293344,0.917073,0.129863,0.911475,0.2799,0.914804,0.146976,0.886866
HSPB3,0.593572,0.954306,0.173896,1.09274,0.963285,1.00404,0.858846,1.01569
HSPB6,0.0654752,0.828125,0.193256,0.907046,0.0887206,0.84042,0.0832096,0.837759
HSPB7,0.169466,0.856877,0.284926,1.0925,0.905981,0.986928,0.49904,0.927306
HSPB8,0.405275,0.923396,0.349504,1.06847,0.649557,0.957519,0.454991,1.07412
HSPB9,0.14937,0.809653,0.924287,1.01023,0.442845,0.894424,0.942772,1.01046
HSPBAP1,0.0961069,1.14667,0.00271005,1.20664,0.185122,1.11455,0.759174,1.0252
HSPBP1,0.692067,0.97028,0.0107879,0.862461,0.840187,1.01547,0.612168,0.962097
HSPD1,0.133472,0.889246,0.632952,0.973049,0.695097,0.970107,0.000869413,0.761769
HSPE1-MOB4,0.285773,1.13535,0.656437,0.961855,0.463809,0.916799,0.367372,1.11296
HSPG2,0.119583,0.864118,0.717271,0.975491,0.407678,0.925859,0.56729,0.948257
HSPH1,0.0346306,1.36742,0.326963,1.11117,0.331975,1.15171,0.454181,1.1149
HTATIP2,0.550773,1.10565,0.0451196,1.28862,0.475385,1.12777,0.427321,1.14316
HTATSF1,0.905458,1.03043,0.170824,1.29387,0.110494,1.50358,0.281296,1.31453
HTN1,0.827887,0.980654,0.93435,0.994549,0.366494,1.08486,0.75894,1.02796
HTN3,0.453748,0.947064,0.959412,0.997282,0.962141,0.996569,0.926423,0.993336
HTR1A,0.0993046,0.719838,0.50455,0.907359,0.139349,0.745235,0.116231,0.731322
HTR1B,0.0695985,0.785128,0.380717,0.918279,0.249821,0.859028,0.29016,0.869765
HTR1D,0.295197,0.873075,0.0831911,1.1823,0.501028,0.916698,0.913762,1.01407
HTR1E,0.853353,1.01488,0.0251344,1.14505,0.673397,1.03429,0.0722424,1.15712
HTR1F,0.285179,0.887057,0.711271,0.969955,0.434249,0.916258,0.987837,1.0017
HTR2A,0.366522,0.927762,0.328679,1.06177,0.711802,0.969888,0.39946,1.07243
HTR2B,0.531228,0.955252,0.150948,1.08132,0.818822,1.01686,0.932439,0.993832
HTR2C,0.0859025,0.875976,0.349859,0.948666,0.456909,0.944883,0.292168,0.922663
HTR3A,0.0945457,0.852553,0.109686,0.893518,0.155786,0.873793,0.252659,0.897309
HTR3B,0.0135065,0.865161,0.796593,1.0109,0.309827,0.943566,0.719493,0.979756
HTR3C,0.505618,0.935313,0.562688,0.957983,0.730009,0.965977,0.816926,0.977055
HTR3D,0.539394,0.940854,0.122389,1.12126,0.883694,0.985598,0.746386,1.03261
HTR3E,0.704098,0.967142,0.93336,1.00544,0.925183,1.00829,0.457718,1.06764
HTR4,0.676739,0.966956,0.28975,1.06535,0.643203,0.963347,0.899558,0.989886
HTR5A,0.620557,1.08154,0.444069,1.09378,0.511007,1.10978,0.968681,0.99381
HTR6,0.261773,0.897888,0.327857,0.933088,0.282819,0.902099,0.327682,0.910458
HTR7,0.221036,0.89582,0.335519,0.938226,0.606003,0.954954,0.81115,0.978895
HTRA1,0.100958,0.824957,0.421238,0.933332,0.103468,0.826145,0.1154,0.831513
HTRA2,0.964599,1.00347,0.000908307,0.817408,0.930699,0.993245,0.894461,1.01039
HTRA3,0.0786131,0.866921,0.258952,0.935104,0.226653,0.907202,0.232867,0.90839
HTRA4,0.443126,0.938516,0.018491,1.15892,0.751308,1.0265,0.401871,1.07186
HTT,0.254768,1.12041,0.0903659,1.13408,0.398174,1.08775,0.773507,1.02897
HUNK,0.125698,0.898119,0.737668,0.982976,0.545389,0.958846,0.339498,0.935608
HUS1,0.660261,1.02742,0.0018039,1.16031,0.303604,1.06565,0.1227,1.10078
HUS1B,0.616915,0.960301,0.258483,0.934335,0.569246,0.954939,0.511676,1.05463
HUWE1,0.455321,1.07452,0.00103772,0.782509,0.298419,0.904514,0.741525,1.03219
HVCN1,0.32393,1.12435,0.96894,1.00341,0.596883,1.06464,0.956641,0.993591
HYAL1,0.315181,0.909806,0.935092,0.994383,0.560429,0.946852,0.776357,0.973738
HYAL2,0.6869,0.961261,0.000891549,1.28892,0.340848,1.09823,0.991944,1.00099
HYAL4,0.0403093,0.904911,0.0956658,0.942192,0.996607,0.999797,0.822281,1.01078
HYDIN,0.255674,0.922215,0.66015,0.977251,0.921134,0.993015,0.872193,0.988674
HYI,0.371708,0.938167,3.10E-05,0.787597,0.0114744,0.830566,0.324555,0.931974
HYLS1,0.802852,0.980365,0.0486823,0.888855,0.650135,0.96459,0.576534,0.956561
HYOU1,0.737078,1.03634,0.0101763,1.23158,0.0974421,0.836542,0.638524,0.951259
HYPK,0.0759956,0.869204,0.0232332,0.874829,0.659874,0.966311,0.490227,1.05527
IAPP,0.0194597,0.846663,0.0192032,0.88408,0.231147,0.919768,0.0172257,0.843788
IARS,0.272841,1.13177,0.00594635,0.789295,0.514251,0.929276,0.587079,1.06294
IARS2,0.226365,1.10174,4.72E-06,0.741909,0.248167,0.911713,0.567083,1.04664
IBSP,0.575945,0.963503,0.947921,1.00321,0.297012,1.07206,0.94103,1.00492
IBTK,0.251531,1.17483,0.944865,1.00716,0.579289,0.925402,0.987729,0.997855
ICA1,0.911035,1.00669,0.474261,1.03209,0.676697,1.0252,0.0998891,1.10452
ICA1L,0.773534,1.011,0.000112963,0.889892,0.232223,0.955324,0.0487932,1.07928
ICAM1,0.467046,0.898258,3.58E-12,2.64453,0.626097,1.07442,0.536066,0.912814
ICAM2,0.687823,1.11412,0.18735,0.768045,0.443976,1.22913,0.92853,0.976183
ICAM3,0.95174,1.01512,7.44E-06,0.40356,0.588296,0.874201,0.557728,0.864472
ICAM4,0.283885,0.85373,0.0112018,0.753001,0.321663,1.15735,0.294413,0.856682
ICAM5,0.121308,0.861436,0.72466,0.975536,0.579505,0.948566,0.303092,0.906198
ICE2,0.327623,1.13551,0.130695,0.864287,0.831359,0.972851,0.915235,1.01385
ICK,0.0929234,1.11975,0.0695483,0.913532,0.785711,0.982103,0.786456,1.01816
ICMT,0.992119,0.999347,0.0451898,1.10495,0.484842,1.04742,0.591619,1.03618
ICOS,0.337997,1.25085,0.527937,1.11473,0.739752,0.925617,0.243748,1.31375
ICOSLG,0.373567,0.914818,0.576267,1.04206,0.192461,0.877233,0.746802,1.03272
ICT1,0.537423,1.10769,0.0379311,0.77171,0.687266,1.06897,0.83577,1.03492
ID1,0.638003,0.909768,0.727375,0.94959,0.665046,0.91667,0.640668,1.09836
ID2,0.720159,1.06798,0.00135923,0.633489,0.558274,1.11358,0.512427,1.12798
ID2B,0.107351,0.81293,0.000301397,0.696529,0.11459,0.8164,0.0554946,0.780665
ID3,0.16061,1.2492,0.33873,1.11793,0.901213,1.01969,0.18483,1.23377
ID4,0.427399,0.938878,0.117988,0.911591,0.55092,0.953772,0.623787,0.961842
IDE,0.314326,1.13667,0.0134665,1.26901,0.939919,0.990496,0.748731,1.04144
IDH1,0.391393,1.10708,1.07E-10,2.0129,0.000955433,1.51021,0.471227,1.08917
IDH2,0.856691,1.0178,0.00290885,1.25157,0.177316,1.14223,0.57544,1.05633
IDH3A,0.872031,1.01478,0.00503475,1.21661,0.274623,1.10524,0.327681,1.09368
IDH3B,0.953012,1.00818,0.107623,0.846654,0.878753,1.02133,0.673698,1.06003
IDH3G,0.922012,0.989584,0.141912,0.889382,0.865224,1.01832,0.928141,0.990401
IDI1,0.894693,0.984684,0.0544099,1.18371,0.854123,1.02167,0.55481,1.07141
IDI2,0.264715,0.888137,0.973804,1.00257,0.581653,0.943332,0.834552,0.978155
IDI2-AS1,0.244016,0.886679,0.588556,1.04188,0.282631,0.895108,0.363034,1.09819
IDNK,0.724854,0.96744,0.427634,0.946265,0.962162,1.00447,0.457895,1.07246
IDO1,0.915526,1.03377,1.20E-22,47.6255,0.574985,1.19221,0.888433,1.0449
IDO2,0.619729,0.934898,1.22E-05,1.61869,0.91813,1.01403,0.696035,1.0544
IDS,0.693069,1.04696,0.949834,1.00541,0.998178,1.00027,0.719582,1.04262
IDUA,0.804637,0.978592,0.525054,0.959698,0.537644,0.947422,0.332753,0.918417
IER2,0.399077,0.792337,0.225158,0.780215,0.937932,0.978807,0.700134,0.899406
IER3,0.126317,0.747856,0.0874018,1.27201,0.0169979,0.630563,0.445892,0.866202
IER3IP1,0.649869,1.07777,0.5093,0.922654,0.597181,1.09113,0.640687,1.08005
IER5,0.475957,0.925265,0.147585,1.12462,0.0387091,1.2579,0.674452,0.95533
IER5L,0.367875,0.926252,0.207651,0.923603,0.928563,0.992431,0.887158,0.988046
IFFO1,0.350601,0.94419,0.538122,0.972478,0.169712,1.08861,0.822007,0.986309
IFI16,0.087449,1.29597,1.92E-08,2.07288,0.00840833,1.50346,0.288328,1.17313
IFI27,0.914818,0.94912,3.91E-08,10.0699,1.06E-07,19.9707,0.000961594,5.47798
IFI27L1,0.18037,0.841929,0.726711,1.03343,0.528677,1.08369,0.550919,1.07903
IFI27L2,0.969387,1.00619,0.101552,1.2179,0.164377,1.25338,0.173147,1.24752
IFI30,0.596089,1.04603,4.81E-07,1.43067,0.00695387,1.26764,0.879987,0.987279
IFI35,0.880222,1.05054,4.49E-07,4.00151,0.0140704,2.28738,0.599128,1.18793
IFI44,0.540447,1.24169,9.05E-09,5.89178,0.0001265,4.28622,0.185177,1.60275
IFI44L,0.6001,1.21213,3.95E-12,11.1826,9.10E-08,9.61429,0.0302533,2.25345
IFI6,0.922558,1.0336,5.84E-08,4.86007,0.000727606,3.37143,0.409042,1.32525
IFIH1,0.418434,1.22734,6.95E-12,5.12093,0.000241512,2.69229,0.206275,1.37912
IFIT1,0.286671,1.55477,2.35E-12,15.7706,5.97E-06,7.89729,0.182702,1.7396
IFIT2,0.176284,1.6714,8.63E-12,11.2452,0.000624317,3.91374,0.322686,1.45368
IFIT3,0.272383,1.57277,2.87E-12,15.3232,1.02E-05,7.35072,0.213875,1.67143
IFIT5,0.387274,1.19903,7.55E-11,3.49784,0.0116853,1.72313,0.346804,1.21854
IFITM1,0.788165,1.08007,0.0966162,1.4282,0.153011,1.51225,0.893831,1.03899
IFITM10,0.831229,1.02125,9.05E-09,1.64156,0.01219,1.29046,0.841021,0.980403
IFITM2,0.470595,1.12987,0.274463,1.14687,0.106186,1.31811,0.670222,1.0746
IFITM3,0.22113,0.766791,0.136316,0.786933,0.223428,0.767816,0.251022,0.779655
IFITM4P,0.214642,0.907845,0.00626171,0.850473,0.0546589,0.859591,0.854529,1.01428
IFNA1,0.936167,0.980993,0.227371,1.24003,0.625094,1.12436,0.387996,1.23071
IFNA10,0.535638,0.924148,0.74755,1.03069,0.313152,1.13751,0.175768,1.18963
IFNA14,0.288551,1.13902,0.682753,0.96382,0.646205,1.05765,0.773858,0.965544
IFNA17,0.357875,1.19789,0.595271,1.07987,0.976757,0.994318,0.963335,0.99105
IFNA2,0.812297,0.966516,0.0638977,1.22082,0.438807,1.11777,0.0552206,1.32294
IFNA21,0.202168,0.776037,0.68164,0.941946,0.306843,0.816623,0.980467,0.995182
IFNA4,0.135149,0.85101,0.0758676,0.867444,0.72258,0.962768,0.0182304,0.771713
IFNA5,0.0523627,0.761724,0.571897,0.944038,0.325034,0.872676,0.978342,1.00375
IFNA6,0.717181,1.07216,0.0102413,1.45713,0.0494121,1.46947,0.0311824,1.52758
IFNA8,0.118234,0.846621,0.373245,0.932834,0.401972,0.915237,0.558412,0.94013
IFNAR1,0.219712,1.25436,0.00054636,1.6429,0.166111,1.29204,0.449877,1.149
IFNAR2,0.086791,1.21324,6.35E-05,1.42742,0.760265,1.03455,0.981404,1.0026
IFNB1,0.822229,0.960432,0.241409,1.16937,0.923333,1.01744,0.485237,0.881904
IFNE,0.214589,0.94144,0.0199572,0.918353,0.752865,1.01532,0.154173,0.932904
IFNG,0.959398,1.01809,0.668746,1.1178,0.997199,1.00124,0.662216,1.16644
IFNGR1,0.223529,1.19371,0.0169706,1.29933,0.06745,1.30794,0.400182,1.12967
IFNGR2,0.574573,1.05111,6.85E-09,1.56896,0.0765926,1.17284,0.852663,0.983665
IFNK,0.245561,0.882531,0.361702,0.93024,0.664572,0.95466,0.505692,1.07391
IFNL1,0.565167,0.920839,0.360644,1.1019,0.394475,1.13012,0.664517,1.06411
IFNL2,0.74191,0.944978,0.325705,1.13344,0.342376,0.848916,0.677233,0.930947
IFNLR1,0.286056,0.919719,0.296292,0.941298,0.0310559,0.841904,0.227557,0.909549
IFNW1,0.164792,0.85447,0.291783,1.09177,0.222372,0.871224,0.814567,0.97403
IFRD1,0.0836678,1.21024,0.421533,0.937313,0.645817,0.951215,0.376283,1.10137
IFRD2,0.24256,0.921651,0.00211135,0.847931,0.554111,0.959732,0.915216,1.00741
IFT122,0.842678,1.02373,0.86475,1.01498,0.399746,0.904974,0.539751,1.07529
IFT140,0.16979,0.920807,0.281882,0.953522,0.784561,1.01642,0.858623,1.01067
IFT172,0.555443,1.02533,8.99E-09,0.808256,0.511456,0.972515,0.876395,1.00661
IFT20,0.660977,1.10626,0.0836544,0.742141,0.95286,0.986493,0.867262,1.0392
IFT22,0.430217,1.05307,3.60E-07,0.755818,0.00827722,0.836457,0.521117,1.04291
IFT27,0.934519,1.00935,0.00408251,0.778728,0.698449,1.04488,0.752479,1.03638
IFT43,0.655044,0.959501,0.006015,0.823146,0.297777,0.907771,0.903901,0.9889
IFT46,0.394634,1.10821,0.368852,1.08344,0.661412,1.05414,0.730865,1.04226
IFT52,0.381204,1.11689,0.00830096,0.775927,0.89268,0.983174,0.413329,1.10873
IFT57,0.130947,1.19956,0.000597385,0.726039,0.418049,0.907748,0.778443,1.0341
IFT74,0.676761,1.0455,0.706007,0.970709,0.855168,0.980722,0.769137,1.03181
IFT80,0.539321,1.08429,0.0826229,0.842662,0.682881,0.947615,0.250817,1.16427
IFT81,0.585209,1.02479,0.0829112,0.943451,0.472211,1.03281,0.857935,1.00805
IFT88,0.248163,1.13442,0.00567092,0.7944,0.575502,0.94096,0.377582,1.10088
IGBP1,0.629298,1.08228,0.000122936,0.606977,0.830166,0.965507,0.830151,1.03573
IGDCC3,0.0466112,0.824741,0.498506,0.953528,0.364854,0.917215,0.969374,0.99636
IGDCC4,0.181644,0.875275,0.851063,0.98638,0.696004,0.962077,0.857439,0.982393
IGF1,0.0983034,0.878755,0.990821,1.00066,0.892657,1.01047,0.33361,1.07781
IGF1R,0.190551,1.25178,0.000181771,0.604019,0.620993,0.919226,0.184319,1.25585
IGF1R,0.925306,0.98436,0.0408709,0.771704,0.214343,0.810304,0.965305,0.992713
IGF2,0.326129,0.917027,0.168681,1.09426,0.964683,1.0039,0.902258,1.01084
IGF2,0.153857,0.874958,0.797106,0.982538,0.444092,0.931291,0.369415,0.919822
IGF2-AS,0.0356786,0.811815,0.244107,0.919327,0.246186,0.892809,0.267614,0.897334
IGF2BP1,0.430378,0.944181,0.68326,1.02214,0.697395,0.972137,0.839239,1.01484
IGF2BP2,0.925121,1.01196,0.0265951,1.2364,0.707239,1.04869,0.44495,0.907643
IGF2BP3,0.994258,0.999145,0.00979791,1.26414,0.493739,0.921665,0.632091,1.05866
IGF2R,0.843193,1.03286,3.67E-05,1.71969,0.54059,1.10536,0.759193,1.05139
IGFALS,0.0775658,0.764489,0.880987,0.983564,0.42392,0.886736,0.368213,0.873384
IGFBP1,0.0864235,0.85235,0.504202,0.955609,0.503618,0.940292,0.534194,1.05887
IGFBP2,0.0356378,0.782828,0.471514,1.06269,0.402651,0.90867,0.413907,0.910751
IGFBP3,0.61057,0.952462,0.830314,1.01524,0.376928,0.918771,0.872224,0.984753
IGFBP4,0.176715,0.853377,0.553274,1.05235,0.200453,0.860602,0.531485,0.929666
IGFBP5,0.370956,0.918211,0.758784,1.02179,0.835806,0.980498,0.537953,1.06037
IGFBP6,0.158447,0.852281,0.362039,0.92694,0.460949,0.920374,0.388808,0.907483
IGFBP7,0.599675,0.925758,0.276854,0.8882,0.335569,1.15255,0.64726,0.93498
IGFL1,0.0292301,0.82156,0.376618,1.05943,0.604521,1.04673,0.561603,0.95008
IGFL2,0.0143013,0.792391,0.613085,0.966095,0.230144,0.894517,0.164604,0.878614
IGFL3,0.0462433,0.793261,0.159081,0.887208,0.970673,0.995819,0.462349,0.919445
IGFL4,0.88198,0.977692,0.259169,1.13588,0.911028,0.983163,0.630077,1.07601
IGFLR1,0.458499,0.936154,6.50E-07,1.44702,0.0176836,1.24164,0.949084,1.00568
IGFN1,0.135861,0.868205,0.746881,1.02261,0.319891,0.910562,0.793081,0.975702
IGHMBP2,0.324227,0.902928,0.249481,0.915531,0.284971,1.11722,0.177102,1.15072
IGHV7-81,0.380694,0.938824,0.0725737,0.907879,0.0938902,0.885289,0.201777,0.911822
IGIP,0.460742,0.851628,0.191862,0.80973,0.975669,0.993399,0.967527,1.00888
IGKV2-29,0.484022,1.1914,0.00478318,0.582231,0.83092,0.948081,0.0661816,1.59399
IGLL1,0.021699,0.786353,0.583563,0.959472,0.156078,0.864026,0.0273743,0.794116
IGLL5,0.555391,1.07613,0.00286818,0.751477,0.196345,0.850625,0.125736,1.2121
IGLV6-57,0.421809,0.879455,0.0715701,0.806126,0.317023,0.851905,0.549593,1.10027
IGSF1,0.212235,0.922229,0.262345,0.947765,0.214055,0.92253,0.734741,0.9784
IGSF10,0.0712554,0.858732,0.324471,0.94105,0.12593,0.879298,0.828511,0.982156
IGSF11,0.489558,0.944622,0.614751,0.969851,0.470936,0.942282,0.360194,1.0785
IGSF21,0.264566,0.890186,0.693692,0.970282,0.327266,0.90303,0.708829,0.962013
IGSF22,0.156582,0.889959,0.69166,0.976395,0.573048,0.955044,0.68171,0.967103
IGSF3,0.124867,0.852709,0.159929,1.11356,0.760581,0.969193,0.511969,1.06978
IGSF6,0.218818,1.12794,7.42E-13,1.96224,0.00243905,1.36095,0.916582,0.989871
IGSF8,0.948071,0.995032,0.00627179,0.852043,0.919492,1.00776,0.693026,0.970243
IGSF9,0.0966636,0.859608,0.24148,0.924739,0.318218,0.913826,0.376818,0.923387
IGSF9B,0.922944,0.982296,0.594991,0.92997,0.263657,0.812475,0.280986,0.818556
IHH,0.406205,0.923981,0.70685,1.02672,0.713915,1.03542,0.808613,0.977276
IK,0.569878,0.923655,0.0403279,0.805985,0.799911,1.03601,0.314324,1.15154
IKBIP,0.383885,1.11762,0.977969,1.0026,0.218688,1.17076,0.924635,0.988036
IKBKAP,0.222425,1.12009,0.000562312,0.779354,0.414489,0.927239,0.856359,1.01685
IKBKB,0.0983729,1.09962,0.657173,1.01878,0.153544,1.08515,0.161868,1.08336
IKBKE,0.31216,1.08375,0.0115988,1.16449,0.0389017,1.18171,0.272313,1.09136
IKBKG,0.0188034,0.753962,0.210576,0.896716,0.656355,0.949223,0.37092,0.900236
IKZF1,0.208729,1.11758,0.677123,0.973351,0.761855,1.02696,0.480912,1.06397
IKZF2,0.617418,1.09054,0.202914,0.848526,0.683707,0.931779,0.558521,1.10689
IKZF3,0.201697,1.149,2.12E-07,0.622586,0.520004,0.932793,0.135227,1.17701
IKZF4,0.426527,0.948586,0.862927,1.00848,0.138394,0.905638,0.127438,0.903011
IKZF5,0.629962,1.08118,0.162553,1.18353,0.955301,0.99097,0.326566,1.17293
IL10,0.320544,0.847983,3.25E-08,2.19843,0.707647,0.939885,0.983212,0.99653
IL10RA,0.517164,1.05968,0.237101,1.08168,0.863352,1.01549,0.872667,1.01442
IL10RB,0.0537505,1.22697,7.30E-07,1.5389,0.155446,1.16113,0.993166,1.00089
IL11,0.182108,0.874509,0.720786,1.02666,0.974791,0.996857,0.75526,1.03156
IL11RA,0.363123,0.931477,9.26E-05,0.784953,0.65852,0.966194,0.419153,1.06503
IL12A,0.448512,0.932557,0.854432,0.987627,0.025135,0.809908,0.785211,0.975264
IL12B,0.0640536,0.78163,0.535656,1.0618,0.390123,0.893287,0.172696,0.835243
IL12RB1,0.683402,0.948176,0.177048,1.14013,0.776422,1.03773,0.618802,0.937116
IL12RB2,0.881579,0.975682,0.707472,1.04689,0.684491,0.935009,0.654739,1.07677
IL13,0.0814748,0.824452,0.190521,1.1123,0.382226,1.10049,0.656532,1.0498
IL13RA1,0.915581,1.0155,0.0235188,1.28257,0.639275,0.934186,0.99756,0.999556
IL13RA2,0.122026,0.919875,0.0654843,0.928826,0.793336,0.986107,0.799931,0.986557
IL15,0.914325,0.986446,5.52E-05,1.50616,0.482366,1.09343,0.933708,1.01061
IL15RA,0.174004,0.842324,0.00119918,1.37043,0.860856,0.978309,0.5317,0.92461
IL16,0.236349,1.05378,1.90E-15,0.696881,0.0695538,0.922172,0.361418,0.960539
IL17A,0.260821,0.885316,0.748641,0.97483,0.863775,0.981695,0.787038,1.02952
IL17B,0.543763,0.92206,0.480221,1.07222,0.0698356,0.782093,0.897913,0.983027
IL17C,0.0960273,0.870974,0.567244,0.965939,0.53983,0.95095,0.820449,0.981582
IL17D,0.16015,0.860145,0.804462,0.980757,0.682991,0.957509,0.819067,0.975986
IL17F,0.386605,0.923928,0.197407,1.09132,0.661918,0.960932,0.839012,1.01867
IL17RA,0.541154,1.05681,0.0156297,1.18036,0.23412,1.11419,0.649455,0.959767
IL17RB,0.772504,0.972715,0.557849,1.04234,0.888565,0.986685,0.504781,1.06602
IL17RC,0.0795436,0.887658,0.0238757,1.12135,0.611081,0.966482,0.799098,0.983098
IL17RD,0.38674,0.944991,0.819526,1.01104,0.906448,1.00768,0.726573,1.02305
IL17RE,0.264053,0.883792,0.357014,0.927655,0.379489,0.907572,0.537804,0.934389
IL17REL,0.0909246,0.836604,0.544111,1.04782,0.540489,0.938178,0.651822,0.95408
IL18,0.768486,1.05509,0.0215595,0.728213,0.385102,1.17204,0.72879,0.938774
IL18BP,0.858261,0.968472,7.91E-07,2.0948,0.977682,1.00503,0.878535,1.02779
IL18R1,0.52402,1.07854,0.000268461,0.711498,0.279497,0.879143,0.621008,1.06038
IL18RAP,0.748349,1.05646,0.00264752,0.672263,0.500262,1.12254,0.475305,1.13026
IL19,0.855568,0.973221,0.1026,1.19974,0.573321,0.919341,0.940419,1.01121
IL1A,0.540353,0.812325,0.00875781,1.97092,0.859095,0.941608,0.813332,0.923082
IL1B,0.243864,0.647345,0.000102788,3.14569,0.400899,0.731639,0.746355,1.12746
IL1F10,0.983555,0.998316,0.0413099,1.13399,0.410584,1.06984,0.603426,1.04345
IL1R1,0.670449,0.866608,0.0667391,1.58834,0.381639,0.744393,0.816297,0.924861
IL1R2,0.648243,0.916771,0.0579102,1.31157,0.0943133,0.724169,0.959773,0.990448
IL1RAP,0.350373,1.11617,2.30E-06,1.58004,0.661364,1.05272,0.77138,1.03465
IL1RAPL1,0.0954162,0.911833,0.473171,1.02943,0.58409,0.970507,0.748694,1.01766
IL1RAPL2,0.324397,0.935188,0.190677,0.936175,0.959716,1.00342,0.333374,0.936352
IL1RL1,0.580133,0.928476,0.861967,1.01735,0.225264,0.84908,0.505047,0.914406
IL1RL2,0.207347,0.889207,0.836926,1.01415,0.437711,0.930599,0.863354,1.01603
IL1RN,0.451641,1.202,1.65E-11,4.63841,0.0703395,1.56556,0.594591,1.13872
IL2,0.713742,0.960904,0.610928,1.04172,0.741866,1.03645,0.86508,0.981707
IL20,0.660687,0.96696,0.126085,1.09131,0.463004,1.05788,0.618246,1.03889
IL20RA,0.185792,0.880609,0.749806,0.977799,0.356771,0.915611,0.641493,1.04541
IL20RB,0.742222,0.961413,0.76366,1.02692,0.686319,1.04952,0.112008,1.21214
IL21,0.343596,0.928889,0.979433,0.998525,0.781694,1.02173,0.885037,0.988849
IL21R,0.518391,1.06846,0.0749999,0.872271,0.632962,1.05014,0.918758,0.989616
IL22,0.496713,0.951425,0.563501,0.969247,0.147671,0.8986,0.839528,0.985304
IL22RA1,0.093856,0.849758,0.790811,1.01896,0.582883,0.948647,0.835403,0.980277
IL22RA2,0.464565,0.947186,0.759866,0.983427,0.4417,1.05875,0.536902,0.955253
IL23A,0.280479,1.116,1.53E-07,0.637228,0.00980868,0.763523,0.906596,1.01194
IL23R,0.202123,1.17394,0.383207,0.922535,0.722749,0.956684,0.544028,1.07877
IL24,0.902208,1.02555,0.166645,1.23576,0.524621,0.877315,0.590245,1.11708
IL25,0.270838,0.90474,0.456273,1.05113,0.732328,0.969543,0.996568,1.00039
IL26,0.479334,0.970815,0.166734,0.957857,0.787876,1.01131,0.0671551,1.08083
IL27RA,0.902835,1.0158,0.00145521,0.728045,0.342623,1.13021,0.764393,1.03926
IL2RA,0.491797,1.14532,0.786442,0.961349,0.501907,0.875885,0.611038,1.10548
IL2RB,0.962188,1.00491,7.08E-08,0.620942,0.744916,0.966925,0.610948,0.948731
IL2RG,0.0960168,1.22002,0.00087203,0.736326,0.926107,1.01099,0.52018,1.07891
IL3,0.252387,0.883377,0.487983,1.05682,0.482571,0.927027,0.917916,0.988966
IL31,0.458974,0.939013,0.548139,0.963046,0.0554995,0.847713,0.959231,1.00434
IL31RA,0.798944,0.959731,6.42E-06,1.8134,0.684683,1.06776,0.9034,0.980611
IL32,0.824213,1.03776,8.25E-07,0.50338,0.306562,0.842445,0.967079,0.993138
IL34,0.0437093,0.799366,0.442466,0.939958,0.255271,0.882838,0.793949,0.971961
IL36A,0.575131,0.944947,0.170782,0.902148,0.652828,0.955595,0.475399,1.07484
IL36B,0.534536,0.928603,0.350924,1.08584,0.631124,1.05889,0.785367,1.03296
IL36G,0.57685,0.920604,0.0545924,1.23857,0.562976,0.917811,0.299118,1.16709
IL36RN,0.233702,0.856337,0.0582917,1.20209,0.867441,0.97864,0.878112,1.02004
IL37,0.222026,0.909899,0.594795,0.970255,0.664889,1.03384,0.97731,0.997819
IL4,0.955974,0.991718,0.85642,0.980067,0.360326,0.87078,0.804213,0.963333
IL4R,0.0731425,1.14168,0.00179106,0.838495,0.450147,0.946367,0.816476,1.01704
IL5,0.588911,1.04304,0.320533,0.944215,0.452391,1.06043,0.0319424,1.18629
IL5RA,0.63939,0.957124,2.93E-06,0.697653,0.00101837,0.723452,0.160782,0.876091
